iter	Logloss
0	0.6864732608
1	0.6756872088
2	0.6663816665
3	0.6629773285
4	0.6569378637
5	0.6508884793
6	0.6451980761
7	0.6434431284
8	0.6395128502
9	0.6346785605
10	0.6323747837
11	0.6297040342
12	0.6274523427
13	0.625805655
14	0.622630476
15	0.6196151685
16	0.6177674305
17	0.6173721034
18	0.6149582028
19	0.6143897349
20	0.6131454612
21	0.612273476
22	0.6115410704
23	0.6101874542
24	0.6095962226
25	0.6088561015
26	0.6076013174
27	0.6068575458
28	0.6062185125
29	0.6057369797
30	0.6057103272
31	0.6050035363
32	0.6045229324
33	0.6039626288
34	0.6037332014
35	0.6033398207
36	0.603016246
37	0.6027174557
38	0.6023866867
39	0.6021566067
40	0.6017872563
41	0.6012992819
42	0.600692261
43	0.6005624354
44	0.6004894289
45	0.6002751087
46	0.6000375619
47	0.5998135749
48	0.5996045626
49	0.5992827398
50	0.5992246337
51	0.5989997526
52	0.598799741
53	0.598760608
54	0.5985742053
55	0.5983005721
56	0.5981545278
57	0.5980787045
58	0.5976954033
59	0.5975334762
60	0.5972340257
61	0.5970807681
62	0.5969427718
63	0.5968020293
64	0.5966615753
65	0.5965206245
66	0.5964179534
67	0.5962940974
68	0.5962284668
69	0.5960724747
70	0.5960293969
71	0.5960172054
72	0.5960053882
73	0.5959401493
74	0.5958364396
75	0.5958124711
76	0.595665896
77	0.5954484268
78	0.5954472347
79	0.595338777
80	0.5953062087
81	0.5952116307
82	0.5950115448
83	0.5948391555
84	0.5948308936
85	0.5946976925
86	0.5945327861
87	0.5943892154
88	0.5943018833
89	0.5941739014
90	0.5940912623
91	0.5940848068
92	0.5940840491
93	0.5940673261
94	0.5939636346
95	0.5939621421
96	0.5939577801
97	0.5939168098
98	0.5938250438
99	0.5935770089
100	0.5935267894
101	0.5933912363
102	0.593346495
103	0.5932698628
104	0.5930337233
105	0.5929411332
106	0.5928251469
107	0.5928102432
108	0.5928051426
109	0.5927519857
110	0.5926608917
111	0.5926041527
112	0.592557568
113	0.5925364483
114	0.5924529965
115	0.5923869131
116	0.5922397648
117	0.5921586327
118	0.59198198
119	0.5918476706
120	0.5918449433
121	0.591821346
122	0.5918094616
123	0.5916711613
124	0.5915597133
125	0.5915465646
126	0.591436462
127	0.5913305533
128	0.5912846294
129	0.5911972628
130	0.5911953055
131	0.5911953189
132	0.5911692769
133	0.5911273919
134	0.5911225575
135	0.5910309519
136	0.5910006419
137	0.5909372313
138	0.5908984886
139	0.5907902883
140	0.590740278
141	0.5906860216
142	0.5906588677
143	0.5906277679
144	0.5905631955
145	0.5905589102
146	0.5905272397
147	0.5904134122
148	0.5903772729
149	0.5903204205
150	0.5902772202
151	0.5902490781
152	0.5902037707
153	0.5902023095
154	0.5901509444
155	0.5900167102
156	0.5899016766
157	0.5898498353
158	0.5898083695
159	0.5896876757
160	0.5895681805
161	0.5895536731
162	0.5895307783
163	0.5894815654
164	0.5893460193
165	0.589287352
166	0.5892109053
167	0.5891788632
168	0.5891724888
169	0.5890826715
170	0.5889898621
171	0.5888850785
172	0.5888551347
173	0.5885784785
174	0.5884824093
175	0.5883955762
176	0.5882835106
177	0.5882308996
178	0.5881632159
179	0.5880963366
180	0.5880030494
181	0.5880009459
182	0.5877929715
183	0.58770582
184	0.5875462524
185	0.5873513805
186	0.58726387
187	0.587190471
188	0.5871905206
189	0.5870746477
190	0.5869416519
191	0.5868756444
192	0.5866861676
193	0.5865769439
194	0.5864972017
195	0.5864696766
196	0.5862673736
197	0.5861553529
198	0.5860959933
199	0.585963173
200	0.585817111
201	0.5857359776
202	0.5855821477
203	0.5855096305
204	0.5852904714
205	0.5851033944
206	0.5849495343
207	0.5848084023
208	0.5846082369
209	0.5843959466
210	0.5842511462
211	0.584090791
212	0.5840002987
213	0.5837947403
214	0.5836477083
215	0.583474999
216	0.5832992859
217	0.5830671026
218	0.5828221752
219	0.5827025263
220	0.5824332304
221	0.582217278
222	0.5820533047
223	0.5818578263
224	0.5816632413
225	0.5814624157
226	0.5812232937
227	0.5809627246
228	0.5807728848
229	0.5806560001
230	0.5805245221
231	0.5804323061
232	0.5801359589
233	0.5798897228
234	0.5797001569
235	0.5795792387
236	0.579465314
237	0.5793068888
238	0.5791640454
239	0.5789171965
240	0.5786845727
241	0.5785095088
242	0.5783892955
243	0.5782058555
244	0.5780800061
245	0.5779714032
246	0.5777565573
247	0.5775708825
248	0.5774331116
249	0.5772632763
250	0.5770533143
251	0.5768840801
252	0.5767782394
253	0.576592802
254	0.576399522
255	0.576262094
256	0.5761516092
