iter	Passed	Remaining
0	82	21975
1	158	21028
2	211	18665
3	266	17593
4	326	17152
5	384	16791
6	433	16154
7	494	16073
8	554	15966
9	609	15714
10	658	15384
11	710	15150
12	764	15001
13	831	15080
14	898	15151
15	959	15115
16	1166	17220
17	1260	17504
18	1315	17239
19	1363	16906
20	1410	16595
21	1463	16364
22	1500	15984
23	1532	15581
24	1580	15362
25	1626	15138
26	1675	14953
27	1723	14769
28	1769	14582
29	1823	14464
30	1855	14183
31	1905	14054
32	1947	13867
33	1994	13726
34	2044	13611
35	2086	13447
36	2128	13289
37	2181	13201
38	2233	13113
39	2279	12995
40	2328	12890
41	2374	12777
42	2419	12658
43	2472	12588
44	2536	12568
45	2572	12416
46	2625	12347
47	2672	12247
48	2719	12152
49	2771	12082
50	2818	11992
51	2868	11916
52	2892	11732
53	2940	11652
54	2978	11535
55	3030	11472
56	3077	11392
57	3118	11289
58	3164	11210
59	3205	11111
60	3250	11029
61	3300	10965
62	3346	10890
63	3392	10813
64	3448	10769
65	3488	10678
66	3542	10626
67	3588	10554
68	3635	10484
69	3685	10424
70	3733	10358
71	3785	10305
72	3836	10249
73	3885	10186
74	3932	10120
75	3989	10078
76	4050	10046
77	4109	10010
78	4152	9934
79	4202	9876
80	4249	9810
81	4301	9756
82	4350	9696
83	4407	9654
84	4453	9588
85	4501	9526
86	4557	9481
87	4616	9443
88	4668	9389
89	4720	9336
90	4770	9278
91	4824	9230
92	4878	9180
93	4929	9125
94	4981	9071
95	5028	9009
96	5076	8948
97	5128	8896
98	5179	8842
99	5233	8791
100	5287	8741
101	5341	8693
102	5390	8634
103	5452	8597
104	5499	8537
105	5546	8477
106	5593	8417
107	5650	8371
108	5692	8303
109	5737	8240
110	5791	8191
111	5845	8141
112	5900	8094
113	5960	8051
114	6015	8002
115	6071	7955
116	6117	7894
117	6165	7837
118	6213	7779
119	6267	7729
120	6323	7682
121	6373	7626
122	6422	7570
123	6467	7511
124	6521	7460
125	6571	7405
126	6618	7348
127	6673	7299
128	6724	7246
129	6775	7192
130	6826	7139
131	6877	7086
132	6918	7022
133	6975	6975
134	7028	6923
135	7080	6872
136	7125	6813
137	7176	6760
138	7222	6703
139	7274	6650
140	7325	6597
141	7381	6549
142	7425	6490
143	7474	6436
144	7522	6380
145	7569	6325
146	7620	6272
147	7685	6231
148	7746	6187
149	7810	6143
150	7866	6095
151	7918	6043
152	7969	5989
153	8015	5933
154	8067	5881
155	8113	5825
156	8163	5771
157	8209	5715
158	8257	5660
159	8307	5607
160	8363	5558
161	8407	5501
162	8454	5445
163	8505	5393
164	8562	5344
165	8613	5292
166	8665	5240
167	8720	5190
168	8778	5142
169	8827	5088
170	8877	5036
171	8929	4984
172	8979	4930
173	9034	4880
174	9087	4829
175	9141	4778
176	9191	4725
177	9245	4674
178	9300	4624
179	9350	4571
180	9408	4522
181	9463	4471
182	9513	4418
183	9563	4365
184	9611	4312
185	9658	4257
186	9708	4205
187	9758	4152
188	9812	4101
189	9873	4053
190	9936	4005
191	9991	3955
192	10045	3903
193	10098	3851
194	10152	3800
195	10201	3747
196	10249	3693
197	10305	3643
198	10355	3590
199	10401	3536
200	10450	3483
201	10501	3431
202	10546	3376
203	10593	3323
204	10642	3270
205	10690	3217
206	10749	3167
207	10809	3118
208	10858	3065
209	10908	3012
210	10956	2959
211	11005	2907
212	11056	2854
213	11103	2801
214	11155	2750
215	11201	2696
216	11245	2642
217	11296	2591
218	11348	2539
219	11394	2486
220	11445	2434
221	11491	2381
222	11539	2328
223	11585	2275
224	11632	2223
225	11677	2170
226	11730	2118
227	11793	2069
228	11862	2020
229	11914	1968
230	11962	1916
231	12008	1863
232	12059	1811
233	12105	1758
234	12155	1706
235	12203	1654
236	12257	1603
237	12321	1553
238	12379	1502
239	12441	1451
240	12506	1401
241	12565	1349
242	12621	1298
243	12674	1246
244	12733	1195
245	12786	1143
246	12842	1091
247	12902	1040
248	12964	989
249	13022	937
250	13085	886
251	13150	834
252	13205	782
253	13264	731
254	13317	678
255	13369	626
256	13423	574
257	13474	522
258	13527	470
259	13577	417
260	13629	365
261	13681	313
262	13733	261
263	13788	208
264	13841	156
265	13893	104
266	13945	52
267	14000	0
